CODIGO,nombre,latitud,longitud,DEPARTAMENTO,MUNICIPIO
44135030,CHIRIBIQUETE - AUT [44135030],-0.07416667,-72.45138889,Caquetá,Solano
52055150,CERRO PARAMO  - AUT [52055150],0.84311111,-77.38880556000001,Nariño,Puerres
52055220,EL PARAISO - AUT [52055220],1.07061111,-77.63688889,Nariño,Túquerres
44037040,EL ROSARIO - AUT [44037040],1.7252500000000002,-75.66638889000001,Caquetá,Florencia (Caquetá)
52077020,LOS NORTES - AUT [52077020],1.7411111099999999,-77.53111111,Nariño,Cumbitara
48015040,PUERTO NARINO - AUT [48015040],-3.78030556,-70.36263889,Amazonas,Puerto Nariño
44135020,CAHUINARI - AUT [44135020],-1.35166667,-70.80375000000001,Amazonas,Santander (Araracuara)
51025070,RICAURTE - AUT [51025070],1.21533333,-77.99691666999999,Nariño,Ricaurte (Nariño)
2502700206,CECILIA [2502700206],8.46361111,-75.03166666999999,Córdoba,Ayapel
52055210,BOTANA - AUT [52055210],1.16,-77.27880556000001,Nariño,Pasto
52035040,VIENTO LIBRE - AUT [52035040],1.62,-77.34,Nariño,Taminango
51025060,BIOTOPO - AUT [51025060],1.40863889,-78.28161111,Nariño,Barbacoas
51039010,TUMACO - AUT [51039010],1.81930556,-78.73027778,Nariño,Tumaco
21017050,PITALITO 2 [21017050],1.84883333,-76.05244444,Huila,Pitalito
51027060,SAN JUAN MIRA - AUT [51027060],1.42388889,-78.67027777999999,Nariño,Tumaco
44037060,FLORENCIA-HACHA [44037060],1.62116667,-75.61922222000001,Caquetá,Florencia (Caquetá)
51020011,Piedrancha - - AUT [51020011],1.1415277799999999,-77.92897222,Nariño,Mallama (Piedrancha)
44015060,ACUEDUCTO MOCOA - AUT [44015060],1.15733333,-76.65183332999999,Putumayo,Mocoa
52045080,UNIVERSIDAD DE NARINO  - AUT [52045080],1.23,-77.28,Nariño,Pasto
21047010,PUENTE BALSEADERO [21047010],2.23236111,-75.64855556,Huila,Agrado
26035090,LA LAGUNA DE CAJIBIO [26035090],2.699175,-76.59544444,Cauca,Cajibío
21057100,TALAGA TOEZ - AUT [21057100],2.7055555599999996,-76.02219443999999,Cauca,Páez (Belalcázar)
21017020,SAN AGUSTIN [21017020],1.8702777800000001,-76.23161111,Huila,San Agustín
52025090,LA SIERRA - AUT [52025090],2.19383333,-76.75033332999999,Cauca,La Sierra
21015060,MARENGO  - AUT [21015060],2.22111111,-76.11888889,Huila,Pitalito
26015010,EL TABLAZO - AUT [26015010],2.47483306,-76.58129360999999,Cauca,Popayán
52015050,BALBOA - AUT [52015050],2.03277778,-77.22166666999999,Cauca,Balboa (Cauca)
53075020,EL DIVISO - AUT [53075020],2.31141667,-77.25877778,Cauca,Argelia (Cauca)
21015040,LA PRIMAVERA - AUT [21015040],2.02158333,-76.11433333,Huila,Saladoblanco
48017050,BOCATOMA YAGUARCACA [48017050],-4.19047222,-69.95027778,Amazonas,Leticia
21097070,PUENTE SANTANDER AUT [21097070],2.94261111,-75.30852777999999,Huila,Neiva
53077010,ANGOSTURA RIO MICAY AUT [53077010],2.80122222,-77.24102778,Cauca,López
57025020,GORGONA GUAPI AUT [57025020],2.9629444400000002,-78.17436111,Cauca,Guapi
21117100,PUEBLO NUEVO - AUT [21117100],2.82744444,-75.08883333,Huila,Neiva
25027980,UNION LA [25027980],8.7,-74.31666666999999,Bolívar,Pinillos
25027640,TRES CRUCES [25027640],8.70308333,-74.51730556000001,Bolívar,Achí
25020030,GUACAMAYO [25020030],8.72722222,-74.51222222000001,Bolívar,Achí
25028210,CNO VIDE [25028210],8.783333330000001,-74.33333332999999,Bolívar,Pinillos
