Fecha|Valor
2014-10-04 07:00:00|24.6
2014-10-05 07:00:00|25.8
2014-10-06 07:00:00|24.5
2014-10-07 07:00:00|25.9
2014-10-08 07:00:00|25.1
2014-10-09 07:00:00|24.1
2014-10-10 07:00:00|23.8
2014-10-11 07:00:00|24.2
2014-10-12 07:00:00|23.6
2014-10-13 07:00:00|23.6
2014-10-14 07:00:00|24.4
2014-10-15 07:00:00|23.8
2014-10-16 07:00:00|25.2
2014-10-17 07:00:00|24.1
2014-10-18 07:00:00|24.0
2014-10-19 07:00:00|24.4
2014-10-20 07:00:00|23.9
2014-10-21 07:00:00|24.7
2014-10-22 07:00:00|25.2
2014-10-23 07:00:00|26.1
2014-10-24 07:00:00|25.0
2014-10-25 07:00:00|25.6
2014-10-26 07:00:00|24.3
2014-10-27 07:00:00|24.0
2014-10-28 07:00:00|23.8
2014-10-29 07:00:00|24.9
2014-10-30 07:00:00|25.6
2014-10-31 07:00:00|24.8
2014-11-01 07:00:00|23.9
2014-11-02 07:00:00|24.9
2014-11-03 07:00:00|25.4
2014-11-04 07:00:00|25.3
2014-11-05 07:00:00|24.9
2014-11-06 07:00:00|24.9
2014-11-07 07:00:00|25.5
2014-11-08 07:00:00|25.4
2014-11-09 07:00:00|23.2
2014-11-10 07:00:00|25.2
2014-11-11 07:00:00|24.7
2014-11-12 07:00:00|24.9
2014-11-13 07:00:00|23.9
2014-11-14 07:00:00|24.1
2014-11-15 07:00:00|24.5
2014-11-16 07:00:00|25.2
2014-11-17 07:00:00|24.9
2014-11-18 07:00:00|23.4
2014-11-19 07:00:00|23.8
2014-11-20 07:00:00|25.3
2014-11-21 07:00:00|23.8
2014-11-22 07:00:00|24.3
2014-11-23 07:00:00|25.1
2014-11-24 07:00:00|25.4
2014-11-25 07:00:00|26.0
2014-11-26 07:00:00|25.1
2014-11-27 07:00:00|21.8
2014-11-28 07:00:00|25.2
2014-11-29 07:00:00|24.2
2014-11-30 07:00:00|25.1
2014-12-01 07:00:00|25.5
2014-12-02 07:00:00|25.3
2014-12-03 07:00:00|25.7
2014-12-04 07:00:00|25.9
2014-12-05 07:00:00|25.0
2014-12-06 07:00:00|24.9
2014-12-07 07:00:00|24.4
2014-12-08 07:00:00|24.6
2014-12-09 07:00:00|24.0
2014-12-10 07:00:00|22.9
2014-12-11 07:00:00|24.3
2014-12-12 07:00:00|24.2
2014-12-13 07:00:00|25.4
2014-12-14 07:00:00|23.9
2014-12-15 07:00:00|24.5
2014-12-16 07:00:00|24.4
2014-12-17 07:00:00|24.1
2014-12-18 07:00:00|25.1
2014-12-19 07:00:00|25.0
2014-12-20 07:00:00|24.6
2014-12-21 07:00:00|25.0
2014-12-22 07:00:00|24.2
2014-12-23 07:00:00|23.9
2014-12-24 07:00:00|25.0
2014-12-25 07:00:00|24.9
2014-12-26 07:00:00|22.8
2014-12-27 07:00:00|24.1
2014-12-28 07:00:00|24.2
2014-12-29 07:00:00|24.8
2014-12-30 07:00:00|25.0
2014-12-31 07:00:00|23.8
2015-01-01 07:00:00|22.6
2015-01-02 07:00:00|22.1
2015-01-03 07:00:00|21.2
2015-01-04 07:00:00|21.9
2015-01-05 07:00:00|20.6
2015-01-06 07:00:00|21.1
2015-01-07 07:00:00|20.5
2015-01-08 07:00:00|21.6
2015-01-09 07:00:00|21.4
2015-01-10 07:00:00|22.7
2015-01-11 07:00:00|23.2
2015-01-12 07:00:00|24.3
2015-01-13 07:00:00|24.2
2015-01-14 07:00:00|24.6
2015-01-15 07:00:00|24.6
2015-01-16 07:00:00|24.8
2015-01-17 07:00:00|25.2
2015-01-22 07:00:00|25.2
2015-01-23 07:00:00|24.7
2015-01-24 07:00:00|23.9
2015-01-25 07:00:00|24.8
2015-01-26 07:00:00|24.0
2015-01-27 07:00:00|24.7
2015-01-28 07:00:00|23.1
2015-01-29 07:00:00|23.3
2015-01-30 07:00:00|23.6
2015-01-31 07:00:00|25.3
2015-02-01 07:00:00|25.1
2015-02-02 07:00:00|24.5
2015-02-03 07:00:00|25.4
2015-02-04 07:00:00|24.9
2015-02-05 07:00:00|25.5
2015-02-06 07:00:00|25.3
2015-02-07 07:00:00|23.5
2015-02-08 07:00:00|24.1
2015-02-09 07:00:00|24.0
2015-02-10 07:00:00|24.2
2015-02-11 07:00:00|23.3
2015-02-12 07:00:00|25.6
2015-02-13 07:00:00|24.8
2015-02-14 07:00:00|24.6
2015-02-15 07:00:00|24.7
2015-02-16 07:00:00|24.3
2015-02-17 07:00:00|24.0
2015-02-18 07:00:00|24.9
2015-02-19 07:00:00|24.8
2015-02-20 07:00:00|24.3
2015-02-21 07:00:00|24.3
2015-02-22 07:00:00|23.7
2015-02-23 07:00:00|23.0
2015-02-24 07:00:00|24.8
2015-02-25 07:00:00|24.4
2015-02-26 07:00:00|24.7
2015-02-27 07:00:00|24.9
2015-02-28 07:00:00|25.8
2015-03-01 07:00:00|24.5
2015-03-02 07:00:00|23.6
2015-03-03 07:00:00|22.3
2015-03-04 07:00:00|22.6
2015-03-05 07:00:00|23.1
2015-03-06 07:00:00|24.4
2015-03-07 07:00:00|24.0
2015-03-08 07:00:00|24.3
2015-03-09 07:00:00|23.8
2015-03-10 07:00:00|24.0
2015-03-11 07:00:00|24.7
2015-03-12 07:00:00|25.2
2015-03-13 07:00:00|25.4
