Fecha|Valor
1978-01-01 07:00:00|25.9
1978-01-02 07:00:00|25.1
1978-01-03 07:00:00|27.6
1978-01-04 07:00:00|27.1
1978-01-05 07:00:00|27.4
1978-01-06 07:00:00|28.3
1978-01-07 07:00:00|28.9
1978-01-08 07:00:00|27.0
1978-01-09 07:00:00|25.8
1978-01-10 07:00:00|27.1
1978-01-11 07:00:00|31.0
1978-01-12 07:00:00|26.2
1978-01-13 07:00:00|26.5
1978-01-14 07:00:00|26.1
1978-01-15 07:00:00|26.5
1978-01-16 07:00:00|26.0
1978-01-17 07:00:00|28.7
1978-01-18 07:00:00|27.5
1978-01-19 07:00:00|27.2
1978-01-20 07:00:00|26.5
1978-01-21 07:00:00|28.6
1978-01-22 07:00:00|28.1
1978-01-23 07:00:00|27.0
1978-01-24 07:00:00|30.0
1978-01-25 07:00:00|30.6
1978-01-26 07:00:00|30.0
1978-01-27 07:00:00|30.9
1978-01-28 07:00:00|28.3
1978-01-29 07:00:00|28.5
1978-01-30 07:00:00|29.0
1978-01-31 07:00:00|31.1
1978-02-01 07:00:00|30.2
1978-02-02 07:00:00|28.3
1978-02-03 07:00:00|27.5
1978-02-04 07:00:00|28.7
1978-02-05 07:00:00|27.2
1978-02-06 07:00:00|25.7
1978-02-07 07:00:00|28.8
1978-02-08 07:00:00|27.1
1978-02-09 07:00:00|27.2
1978-02-10 07:00:00|27.2
1978-02-11 07:00:00|27.5
1978-02-12 07:00:00|27.7
1978-02-13 07:00:00|28.1
1978-02-14 07:00:00|28.1
1978-02-15 07:00:00|27.7
1978-02-16 07:00:00|28.9
1978-02-17 07:00:00|30.1
1978-02-18 07:00:00|28.7
1978-02-19 07:00:00|28.8
1978-02-20 07:00:00|27.7
1978-02-21 07:00:00|30.3
1978-02-22 07:00:00|29.7
1978-02-23 07:00:00|29.1
1978-02-24 07:00:00|29.4
1978-02-25 07:00:00|28.7
1978-02-26 07:00:00|27.5
1978-02-27 07:00:00|27.1
1978-02-28 07:00:00|29.0
1978-04-01 07:00:00|27.9
1978-04-02 07:00:00|27.9
1978-04-03 07:00:00|26.9
1978-04-04 07:00:00|28.5
1978-04-05 07:00:00|26.8
1978-04-06 07:00:00|28.3
1978-04-07 07:00:00|27.3
1978-04-08 07:00:00|29.1
1978-04-09 07:00:00|27.8
1978-04-10 07:00:00|28.5
1978-04-11 07:00:00|28.5
1978-04-12 07:00:00|28.2
1978-04-13 07:00:00|26.6
1978-04-14 07:00:00|26.2
1978-04-15 07:00:00|28.0
1978-04-16 07:00:00|26.0
1978-04-17 07:00:00|26.6
1978-04-18 07:00:00|27.1
1978-04-19 07:00:00|28.1
1978-04-20 07:00:00|28.6
1978-04-21 07:00:00|26.8
1978-04-22 07:00:00|28.2
1978-04-23 07:00:00|30.0
1978-04-24 07:00:00|27.1
1978-04-25 07:00:00|26.3
1978-04-26 07:00:00|25.8
1978-04-27 07:00:00|29.1
1978-04-28 07:00:00|29.1
1978-04-29 07:00:00|30.3
1978-04-30 07:00:00|27.5
1978-05-01 07:00:00|26.1
1978-05-02 07:00:00|26.1
1978-05-03 07:00:00|27.2
1978-05-04 07:00:00|27.9
1978-05-05 07:00:00|26.3
1978-05-06 07:00:00|28.6
1978-05-07 07:00:00|27.0
1978-05-08 07:00:00|27.9
1978-05-09 07:00:00|28.7
1978-05-10 07:00:00|27.9
1978-05-11 07:00:00|28.1
1978-05-12 07:00:00|27.9
1978-05-13 07:00:00|26.5
1978-05-14 07:00:00|28.7
1978-05-15 07:00:00|27.2
1978-05-16 07:00:00|27.2
1978-05-17 07:00:00|28.4
1978-05-18 07:00:00|28.7
1978-05-19 07:00:00|25.9
1978-05-20 07:00:00|28.7
1978-05-21 07:00:00|28.1
1978-05-22 07:00:00|28.0
1978-05-23 07:00:00|30.4
1978-05-24 07:00:00|26.3
1978-05-25 07:00:00|25.6
1978-05-26 07:00:00|27.0
1978-05-27 07:00:00|24.6
1978-05-28 07:00:00|26.9
1978-05-29 07:00:00|26.9
1978-05-30 07:00:00|27.2
1978-05-31 07:00:00|27.2
1978-06-01 07:00:00|26.5
1978-06-02 07:00:00|27.5
1978-06-03 07:00:00|25.6
1978-06-04 07:00:00|28.2
1978-06-05 07:00:00|28.7
1978-06-06 07:00:00|25.5
1978-06-07 07:00:00|27.8
1978-06-08 07:00:00|27.6
1978-06-09 07:00:00|27.8
1978-06-10 07:00:00|26.6
1978-06-11 07:00:00|27.1
1978-06-12 07:00:00|25.3
1978-06-13 07:00:00|28.2
1978-06-14 07:00:00|28.1
1978-06-15 07:00:00|27.3
1978-06-16 07:00:00|27.2
1978-06-17 07:00:00|28.9
1978-06-18 07:00:00|29.0
1978-06-19 07:00:00|26.8
1978-06-20 07:00:00|27.5
1978-06-21 07:00:00|26.3
1978-06-22 07:00:00|30.0
1978-06-23 07:00:00|29.8
1978-06-24 07:00:00|29.2
1978-06-25 07:00:00|28.3
1978-06-26 07:00:00|29.1
1978-06-27 07:00:00|27.9
1978-06-28 07:00:00|27.7
1978-06-29 07:00:00|31.0
1978-06-30 07:00:00|26.3
1978-07-01 07:00:00|28.4
1978-07-02 07:00:00|27.8
1978-07-03 07:00:00|28.6
1978-07-04 07:00:00|27.6
1978-07-05 07:00:00|26.1
